                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.3657,                0.63065,                0.94566,                0.93723,                0.97781,                0.98911,                0.63301,                 1.6445,                0.61143,                 1.0093,              0.0014565,              0.0014565,              0.0014565
                     66,                 1.4469,                0.67068,                0.94435,                0.94945,                0.98718,                0.98807,                 0.6319,                 1.6718,                0.61367,                 1.0249,              0.0014532,              0.0014532,              0.0014532
                     67,                 1.4376,                0.63982,                0.96218,                0.98273,                0.92946,                0.96861,                0.61409,                 1.6892,                0.63518,                  1.034,              0.0014499,              0.0014499,              0.0014499
                     68,                 1.4189,                0.65366,                0.91352,                0.96515,                0.95254,                0.97007,                0.59515,                 1.6724,                0.69707,                 1.0149,              0.0014466,              0.0014466,              0.0014466
                     69,                 1.3665,                0.62172,                0.93636,                0.93406,                0.94872,                0.96609,                0.61011,                 1.6964,                0.69515,                 1.0116,              0.0014433,              0.0014433,              0.0014433
                     70,                 1.2617,                0.61389,                0.94817,                0.92514,                0.94705,                0.95923,                0.61451,                 1.6468,                0.69188,                 1.0068,              0.0014401,              0.0014401,              0.0014401
                     71,                 1.4046,                0.64633,                0.96701,                0.96563,                 0.8748,                0.95699,                0.60797,                   1.65,                0.68361,                 1.0115,              0.0014368,              0.0014368,              0.0014368
                     72,                 1.3672,                0.62155,                0.93053,                0.95573,                 0.9302,                0.97461,                0.60059,                 1.7008,                0.64428,                 1.0181,              0.0014335,              0.0014335,              0.0014335
                     73,                   1.36,                0.61572,                0.94057,                0.94976,                0.92816,                0.96263,                0.61677,                 1.6757,                0.61701,                 1.0173,              0.0014302,              0.0014302,              0.0014302
                     74,                 1.3364,                 0.6167,                0.95094,                0.98455,                0.97133,                0.98608,                0.61999,                 1.6653,                0.60124,                 1.0143,              0.0014269,              0.0014269,              0.0014269
                     75,                 1.4149,                 0.6143,                0.94425,                0.94493,                0.98364,                0.98386,                0.62383,                 1.6834,                0.62175,                 1.0134,              0.0014236,              0.0014236,              0.0014236
                     76,                  1.325,                0.61847,                0.92888,                0.95749,                0.93732,                0.95751,                0.60183,                 1.6938,                0.60959,                 1.0183,              0.0014203,              0.0014203,              0.0014203
                     77,                 1.3046,                0.58554,                0.91834,                 0.9674,                0.93158,                0.97113,                   0.61,                 1.7642,                0.61111,                 1.0278,               0.001417,               0.001417,               0.001417
                     78,                 1.4118,                0.62858,                0.93539,                0.94982,                0.94302,                0.96023,                0.59409,                 1.8549,                 0.6033,                 1.0744,              0.0014137,              0.0014137,              0.0014137
                     79,                 1.4172,                0.65321,                0.95559,                0.93843,                0.97436,                0.97323,                0.61812,                  1.776,                0.58666,                 1.0574,              0.0014104,              0.0014104,              0.0014104
                     80,                 1.3735,                0.61479,                0.94289,                 0.9348,                 0.9291,                0.96246,                0.62342,                 1.6891,                0.58162,                 1.0146,              0.0014072,              0.0014072,              0.0014072
                     81,                  1.328,                0.58371,                0.93009,                0.93505,                0.95584,                0.96698,                0.62712,                 1.6762,                0.59632,                 1.0155,              0.0014039,              0.0014039,              0.0014039
                     82,                 1.3613,                0.59224,                0.92664,                0.95269,                0.94189,                0.96317,                0.62826,                 1.6409,                0.61279,                 1.0166,              0.0014006,              0.0014006,              0.0014006
                     83,                 1.3373,                0.58732,                0.93689,                  0.949,                0.93656,                0.94681,                0.59871,                 1.6945,                0.60748,                 1.0429,              0.0013973,              0.0013973,              0.0013973
                     84,                 1.3088,                0.58552,                0.92222,                0.93644,                0.91639,                0.94015,                0.60134,                 1.6985,                0.63154,                 1.0372,               0.001394,               0.001394,               0.001394
                     85,                 1.3503,                 0.6092,                0.93587,                0.92578,                0.91738,                0.95287,                0.58984,                 1.7287,                  0.666,                 1.0336,              0.0013907,              0.0013907,              0.0013907
                     86,                 1.2926,                0.56629,                0.91376,                0.95952,                0.96154,                0.97854,                0.57889,                 1.7491,                0.64179,                 1.0331,              0.0013874,              0.0013874,              0.0013874
                     87,                 1.3804,                0.60946,                0.93767,                0.93741,                0.98342,                0.97705,                0.62108,                 1.6806,                0.59268,                 1.0177,              0.0013841,              0.0013841,              0.0013841
                     88,                  1.403,                0.60759,                0.93432,                0.94499,                0.99913,                0.97667,                0.63056,                 1.7319,                0.59601,                 1.0168,              0.0013808,              0.0013808,              0.0013808
                     89,                 1.3048,                0.58389,                0.94393,                0.96374,                0.96154,                0.97792,                0.63326,                 1.6681,                 0.6133,                 1.0071,              0.0013776,              0.0013776,              0.0013776
                     90,                 1.3435,                0.58292,                0.94408,                0.95897,                0.96154,                0.97988,                0.61691,                 1.6596,                 0.6256,                 1.0133,              0.0013743,              0.0013743,              0.0013743
                     91,                  1.441,                0.66415,                0.99043,                0.96971,                0.94826,                0.98065,                0.63993,                 1.6579,                0.59115,                 1.0112,               0.001371,               0.001371,               0.001371
                     92,                 1.3943,                0.60164,                0.93598,                0.90958,                0.95313,                0.95557,                0.60076,                 1.6886,                0.59997,                 1.0226,              0.0013677,              0.0013677,              0.0013677
                     93,                 1.3096,                0.56874,                0.93194,                0.92608,                0.94597,                0.95715,                0.60904,                 1.6937,                0.60011,                 1.0328,              0.0013644,              0.0013644,              0.0013644
                     94,                 1.2323,                0.55547,                0.93595,                0.89713,                0.95345,                0.95742,                0.61081,                 1.6998,                0.60635,                 1.0344,              0.0013611,              0.0013611,              0.0013611
                     95,                 1.3185,                0.56202,                0.92558,                0.92581,                 0.9692,                0.98056,                0.60751,                 1.6995,                0.59464,                 1.0331,              0.0013578,              0.0013578,              0.0013578
                     96,                 1.3455,                0.57874,                 0.9503,                0.97409,                0.96897,                0.97664,                0.63497,                  1.683,                0.55626,                 1.0271,              0.0013545,              0.0013545,              0.0013545
                     97,                 1.3175,                0.57573,                0.93637,                0.98202,                0.95178,                0.96387,                0.60208,                 1.7177,                0.57486,                 1.0392,              0.0013512,              0.0013512,              0.0013512
                     98,                 1.3183,                0.56016,                0.92107,                0.98238,                0.95121,                0.97583,                0.61509,                 1.7007,                0.57686,                 1.0257,               0.001348,               0.001348,               0.001348
                     99,                 1.2728,                0.55311,                0.92324,                0.98338,                0.97198,                0.97573,                0.61582,                   1.69,                0.56028,                 1.0216,              0.0013447,              0.0013447,              0.0013447
                    100,                 1.2945,                0.58226,                0.93059,                0.94078,                 0.9716,                0.96973,                0.63632,                 1.6056,                0.55719,                 1.0106,              0.0013414,              0.0013414,              0.0013414
