fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.62957,0.00686,0.01346,0.89702,0.00048,2.89351,0.95,12.28985,0.38931,1.68185,0.01294,0.54486,0.43872,0.0,0.06889,0.34938,0.0,0.0,0.0,0.38233,0.0,0.98911,0.0,0.0
0.64353,0.00693,0.0144,0.86655,0.00036,4.2689,0.84262,8.67076,0.40016,1.81681,0.0156,0.4419,0.44813,0.0,0.08072,0.42663,0.0,0.0,0.0,0.60701,0.0,1.0,0.0,0.0
0.625,0.01024,0.01188,0.87245,0.00047,3.66564,0.91367,12.04793,0.41296,1.97211,0.0145,0.56016,0.62588,0.0,0.08742,0.46906,0.0,0.0,0.0,0.57012,0.0,1.0,0.0,0.0
0.66709,0.00687,0.01407,0.83464,0.00046,4.37611,0.81512,8.74544,0.35018,1.6532,0.01635,0.44507,0.35706,0.0,0.09835,0.51493,0.0,0.0,0.0,0.65901,0.0,1.0,0.0,0.0
0.65747,0.00838,0.01359,0.82361,0.00046,3.69084,0.91234,9.86137,0.37451,1.2575,0.01633,0.57162,0.46478,0.0,0.09137,0.42676,0.0,0.0,0.0,0.53219,0.0,0.94871,0.0,0.0
0.66512,0.00838,0.0138,0.86808,0.00041,3.37112,0.95,9.44148,0.4787,1.59169,0.01564,0.53386,0.5769,0.0,0.07921,0.48352,0.0,0.0,0.0,0.55433,0.0,0.95984,0.0,0.0
0.62439,0.00892,0.01086,0.87268,0.0005,2.39757,0.62127,8.75022,0.44109,1.88322,0.01617,0.52598,0.45109,0.0,0.08194,0.57256,0.0,0.0,0.0,0.55419,0.0,0.85345,0.0,0.0
0.67496,0.00838,0.01563,0.87612,0.00033,3.28012,0.88987,9.19304,0.62427,1.64258,0.01633,0.67081,0.49144,0.0,0.08357,0.50192,0.0,0.0,0.0,0.61642,0.0,0.94871,0.0,0.0
0.67413,0.0079,0.0142,0.86755,0.00037,4.01014,0.82627,8.1287,0.37719,1.6532,0.01326,0.40557,0.60649,0.0,0.0976,0.42663,0.0,0.0,0.0,0.60235,0.0,1.0,0.0,0.0
0.64598,0.00687,0.01388,0.85711,0.0004,3.80368,0.78364,8.12888,0.39924,1.57866,0.01717,0.47235,0.52035,0.0,0.07938,0.41529,0.0,0.0,0.0,0.58361,0.0,0.87385,0.0,0.0
